City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
277,soyo,20,AO,1558378792,88,-6.13,12.37,80.6,9.17
280,santa ines,75,EC,1558378840,72,-0.82,-78.63,64.4,2.93
283,christchurch,1,NZ,1558378744,100,-43.53,172.64,51.01,3.36
284,kibakwe,46,TZ,1558378841,74,-6.71,36.37,69.54,5.44
285,luderitz,39,,1558378806,72,-26.65,15.16,62.6,18.34
300,betafo,9,MG,1558378845,92,-19.84,46.86,58.2,3.47
301,aitape,100,PG,1558378845,87,-3.15,142.36,77.64,3.96
302,alofi,75,NU,1558378845,94,-19.06,-169.92,75.2,6.93
303,yulara,20,AU,1558378845,77,-25.24,130.99,62.6,8.16
305,salinopolis,90,BR,1558378846,82,-0.61,-47.36,82.14,12.57
307,dunedin,1,NZ,1558378846,81,-45.87,170.5,46.99,4.0
310,airai,35,TL,1558378846,73,-8.93,125.41,75.12,7.2
318,buala,87,SB,1558378849,79,-8.15,159.59,81.96,10.78
319,acari,100,BR,1558378849,48,-6.44,-36.64,89.34,11.99
322,tshikapa,99,CD,1558378849,58,-6.42,20.79,79.62,2.15
334,san patricio,94,PY,1558378853,82,-26.98,-56.83,76.74,7.49
338,port shepstone,2,ZA,1558378854,47,-30.74,30.45,69.54,5.32
339,tautira,20,PF,1558378854,70,-17.73,-149.15,84.2,10.29
340,la libertad,0,PE,1558378855,36,-16.38,-71.56,64.4,8.05
346,chiredzi,0,ZW,1558378856,42,-21.05,31.67,65.76,0.78
352,biak,81,ID,1558378857,98,-0.91,122.88,65.4,3.27
358,alyangula,100,AU,1558378858,100,-13.85,136.42,71.6,3.36
361,boyolangu,80,ID,1558378858,89,-8.09,111.9,74.76,4.65
365,ulladulla,0,AU,1558378859,62,-35.36,150.48,60.01,11.41
367,pampierstad,0,ZA,1558378859,23,-27.78,24.69,67.02,10.38
369,cooma,11,AU,1558378860,71,-36.24,149.13,53.6,10.29
385,santa maria,99,BR,1558378868,85,-29.69,-53.81,71.16,5.95
387,el alto,75,BO,1558378857,19,-16.5,-68.19,57.2,14.99
391,namibe,0,AO,1558378870,74,-15.19,12.15,71.7,17.4
393,juiz de fora,20,BR,1558378833,44,-21.76,-43.35,75.2,8.05
396,nelson bay,2,AU,1558378870,93,-32.72,152.14,59.0,3.36
397,tuatapere,71,NZ,1558378871,88,-46.13,167.69,48.0,1.99
400,kieta,97,PG,1558378871,72,-6.22,155.63,82.5,4.09
401,kalabo,47,ZM,1558378871,42,-15.0,22.67,69.9,4.72
402,sambava,7,MG,1558378871,99,-14.27,50.17,70.98,1.5
408,boquira,20,BR,1558378872,40,-12.82,-42.73,88.62,5.1
418,ahipara,99,NZ,1558378875,100,-35.17,173.16,55.0,9.51
419,byron bay,40,AU,1558378875,93,-28.65,153.62,63.0,4.7
420,isangel,13,VU,1558378875,76,-19.55,169.27,74.76,20.18
424,arenapolis,27,BR,1558378876,34,-14.45,-56.85,89.52,3.94
425,tocopilla,79,CL,1558378876,94,-22.09,-70.2,61.8,17.07
427,hastings,0,NZ,1558378877,93,-39.64,176.84,42.18,2.64
432,macau,70,BR,1558378878,65,-5.11,-36.64,86.1,13.85
438,waipawa,0,NZ,1558378879,93,-39.94,176.59,33.01,2.64
442,kokstad,51,ZA,1558378831,33,-30.55,29.42,57.12,3.65
443,lucapa,65,AO,1558378880,48,-8.42,20.74,78.36,2.73
445,ingham,24,AU,1558378880,97,-18.65,146.16,64.32,3.29
446,henties bay,0,,1558378880,91,-22.12,14.28,59.0,5.99
450,lorengau,100,PG,1558378869,89,-2.02,147.27,77.46,1.12
459,san ramon de la nueva oran,100,AR,1558378883,97,-23.13,-64.33,63.42,2.13
461,prainha,100,BR,1558378652,69,-1.8,-53.48,86.1,4.14
468,san cristobal,75,EC,1558378885,37,-0.39,-78.55,71.6,4.7
472,sawtell,90,AU,1558378885,93,-30.38,153.1,57.2,3.36
474,plettenberg bay,98,ZA,1558378886,74,-34.05,23.37,55.32,7.18
477,bundaberg,0,AU,1558378886,93,-24.87,152.35,61.0,6.93
478,samarinda,52,ID,1558378886,98,-0.5,117.14,75.3,2.08
481,narok,35,KE,1558378887,91,-1.09,35.87,56.76,6.64
483,necochea,100,AR,1558378887,47,-38.55,-58.74,59.0,5.99
484,talcahuano,40,CL,1558378827,66,-36.72,-73.12,55.4,6.93
489,bonfim,20,BR,1558378888,39,-20.33,-44.24,82.4,8.05
492,bolobo,95,CD,1558378889,57,-2.17,16.23,83.94,2.33
503,kambove,15,CD,1558378891,91,-10.88,26.6,62.52,3.36
504,tutoia,75,BR,1558378891,79,-2.76,-42.27,86.0,6.93
505,touros,52,BR,1558378891,75,-5.2,-35.46,84.12,15.88
506,babati,59,TZ,1558378891,97,-4.21,35.75,55.5,6.11
507,graaff-reinet,19,ZA,1558378808,53,-32.25,24.53,60.0,13.87
508,noumea,0,NC,1558378811,77,-22.28,166.46,64.4,2.24
511,valenca do piaui,58,BR,1558378892,67,-6.41,-41.75,84.66,5.37
513,denpasar,20,ID,1558378866,94,-8.65,115.22,80.6,8.05
516,malindi,75,KE,1558378808,88,-3.22,40.12,77.0,9.17
518,bonito,0,BR,1558378893,49,-21.13,-56.49,84.3,7.72
523,kununurra,75,AU,1558378894,58,-15.77,128.74,82.4,6.93
526,viedma,14,AR,1558378894,41,-40.81,-62.99,58.56,10.98
531,russell,75,AR,1558378895,71,-33.01,-68.8,50.0,12.75
536,padang,100,ID,1558378896,82,-0.92,100.36,81.24,7.65
539,palu,72,ID,1558378897,80,-0.9,119.87,78.72,3.83
541,tamworth,64,AU,1558378897,87,-31.09,150.93,44.6,5.82
